task,queue,env_name,exp_name,sensor_bundle,seed,rollout_idx,step,time_s,force_target,finger_force_sum,effective_force,f_thumb,f_index,success_per_step,reward,env_code_commit
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,75,3.75,2.18475,7.3015,7.3015,4.251786,3.049714,0,0.036236,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,76,3.8,2.088123,7.343981,7.343981,4.203928,3.140054,0,0.036301,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,77,3.85,2.026263,7.440009,7.440009,4.228606,3.211403,0,0.03637,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,78,3.9,2.00069,3.264242,0.0,0.0,3.264242,0,0.061277,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,0,79,3.95,2.012034,3.314873,0.0,0.0,3.314873,0,0.061134,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,0,0.0,4.685946,0.0,0.0,0.0,0.0,0,0.055877,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,1,0.05,4.52767,4.657757,4.657757,2.393434,2.264323,0,0.284076,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,2,0.1,4.344089,5.661633,5.661633,3.196507,2.465126,0,0.236696,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,3,0.15,4.139724,6.548987,6.548987,3.698374,2.850613,0,0.150044,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,4,0.2,3.919606,7.32598,7.32598,4.359984,2.965996,0,0.079813,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,5,0.25,3.689157,7.086476,7.086476,4.049267,3.037209,0,0.07094,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,6,0.3,3.454049,7.151922,7.151922,3.784923,3.367,0,0.053627,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,7,0.35,3.220073,3.63109,0.0,0.0,3.63109,0,0.059969,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,8,0.4,2.99299,7.045923,7.045923,3.613607,3.432316,0,0.038344,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,9,0.45,2.778391,5.182358,5.182358,3.891233,1.291125,0,0.079026,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,10,0.5,2.581561,7.834792,7.834792,4.383693,3.451099,0,0.034469,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,11,0.55,2.407346,4.336619,4.336619,0.873177,3.463442,0,0.091114,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,12,0.6,2.260035,4.230233,4.230233,0.936479,3.293754,0,0.077318,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,13,0.65,2.143256,6.556236,6.556236,3.369763,3.186473,0,0.033772,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,14,0.7,2.059885,6.567073,6.567073,3.490879,3.076194,0,0.033695,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,15,0.75,2.011975,8.094598,8.094598,5.015976,3.078621,0,0.033713,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,16,0.8,2.000704,8.085789,8.085789,5.018486,3.067303,0,0.033978,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,17,0.85,2.026351,8.632643,8.632643,4.643057,3.989585,0,0.033598,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,18,0.9,2.088284,8.758415,8.758415,5.788204,2.970211,0,0.033902,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,19,0.95,2.184979,7.62614,7.62614,4.705908,2.920232,0,0.033709,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,20,1.0,2.314054,7.364062,7.364062,4.459733,2.904329,0,0.033804,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,21,1.05,2.47233,7.644165,7.644165,3.528921,4.115244,0,0.033929,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,22,1.1,2.655911,7.304139,7.304139,4.441373,2.862766,0,0.034237,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,23,1.15,2.860276,7.459805,7.459805,4.625782,2.834024,0,0.034723,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,24,1.2,3.080394,7.404043,7.404043,4.597254,2.806789,0,0.03679,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,1,1,25,1.25,3.310844,7.023687,7.023687,4.235292,2.788395,0,0.047955,3682863
