task,queue,env_name,exp_name,sensor_bundle,suffix,seed,eval_mode,rollout_idx,successful_steps,episode_length,success_fraction,result,env_code_commit
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,73,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,74,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,75,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,76,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,77,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,78,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,79,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,80,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,81,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,82,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,83,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,84,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,85,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,86,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,87,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,88,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,89,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,90,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,91,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,92,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,93,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,94,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,95,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,96,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,97,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,98,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-141420-cubepinch_sb_baseline_s1,baseline,cubepinch_sb_baseline_s1,1,det,99,0,80,0.0,failed,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,0,43,80,0.5375,ok,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,1,14,80,0.175,ok,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,2,20,80,0.25,ok,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,3,28,80,0.35,ok,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,4,26,80,0.325,ok,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,5,23,80,0.2875,ok,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,6,32,80,0.4,ok,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,7,34,80,0.425,ok,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,8,23,80,0.2875,ok,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,9,17,80,0.2125,ok,3682863
pinch_sinusoid,pinch_sweep_size_rand_sinusoid-20260623-133237,TesolloCubePinch,TesolloCubePinch-20260623-142829-cubepinch_sb_baseline_s2,baseline,cubepinch_sb_baseline_s2,2,det,10,16,80,0.2,ok,3682863
